,WHO report date,Total Cases,Total Deaths
212,08/10/2014,2789,879
213,03/10/2014,2437,623
214,01/10/2014,2304,622
215,26/09/2014,2021,605
216,24/09/2014,1940,597
217,22/09/2014,1813,593
218,18/09/2014,1673,562
219,16/09/2014,1620,562
220,12/09/2014,1424,524
221,08/09/2014,1361,509
222,06/09/2014,1261,491
223,28/08/2014,1026,422
224,22/08/2014,910,392
225,21/08/2014,907,374
226,19/08/2014,848,365
227,15/08/2014,810,348
228,13/08/2014,783,334
229,12/08/2014,730,315
230,08/08/2014,717,298
231,04/08/2014,646,273
232,03/08/2014,574,252
233,31/07/2014,533,233
234,28/07/2014,525,224
235,24/07/2014,454,219
236,21/07/2014,442,206
237,16/07/2014,386,192
238,14/07/2014,337,142
239,08/07/2014,305,127
240,07/07/2014,252,101
241,02/07/2014,239,99
242,24/06/2014,158,34
243,18/06/2014,97,49
244,11/06/2014,117,19
245,10/06/2014,89,7
246,05/06/2014,81,7
247,02/06/2014,50,6
248,28/05/2014,16,5
249,27/05/2014,1,4
250,23/05/2014,0,0
251,14/05/2014,0,0
252,05/05/2014,0,0
253,30/04/2014,0,0
254,23/04/2014,0,0
255,21/04/2014,0,0
256,17/04/2014,0,0
257,10/04/2014,0,0
258,07/04/2014,0,0
259,02/04/2014,0,0
260,01/04/2014,0,0
261,31/03/2014,0,0
262,27/03/2014,6,5
263,26/03/2014,0,0
264,25/03/2014,0,0
